Entity Name,Group 1,Group 2,Mob,Height,Width,Height Baby,Width Baby,Can Attack,Can Tame,Undead,Burn in the Sun,Breathe Underwater,Can Swim,Fire Resistance,Can Revenge,Can Fly
axolotl,overworld,sea animal,1,0.42,0.75,,,,1,,,1,1,,,
cod,overworld,sea animal,1,0.3,0.5,,,0,1,,,1,1,,,
dolphin,overworld,sea animal,1,0.6,0.9,,,1,1,,,1,1,,1,
drowned,overworld,sea monster,1,1.95,0.6,0.975,0.3,1,1,1,1,1,,,1,
elder_guardian,overworld,sea monster,1,1.9975,1.9975,,,,1,,,1,1,,,
frog,overworld,animal,1,0.5,0.5,,,0,1,,,1,1,,,
glow_squid,overworld,sea animal,1,0.8,0.8,,,0,1,,,1,1,,,
guardian,overworld,sea monster,1,0.85,0.85,,,,1,,,1,1,,,
iron_golem,overworld,human,1,2.7,1.4,,,1,1,,,1,,,1,
pufferfish,overworld,sea animal,1,0.35,0.35,,,,1,,,1,1,,,
salmon,overworld,sea animal,1,0.4,0.7,,,0,1,,,1,1,,,
squid,overworld,sea animal,1,0.8,0.8,,,0,1,,,1,1,,,
tadpole,overworld,sea animal,1,0.3,0.4,,,,1,,,1,1,,,
tropical_fish,overworld,sea animal,1,0.4,0.5,,,0,1,,,1,1,,,
turtle,overworld,sea animal,1,0.4,1.2,0.12,0.36,0,1,,,1,1,,,
blaze,nether,,1,1.8,0.6,,,1,1,,,,,1,1,1
ender_dragon,end,,1,8,8,,,,1,,,,,1,,1
ghast,nether,,1,4,4,,,1,1,,,,,1,,1
magma_cube,nether,,1,2.05,2.05,,,0,1,,,,,1,,
strider,nether,,1,1.7,0.9,0.85,0.45,0,1,,,,,1,,
warden,overworld,overworld monster,1,2.9,0.9,,,,1,,,,,1,,
wither,other,,1,3.5,0.9,,,,1,1,,,,1,,1
wither_skeleton,nether,,1,2.4,0.7,,,1,1,1,,,,1,1,
zoglin,other,,1,1.4,1.3965,0.7,0.6982,1,1,1,,,,1,1,
zombified_piglin,nether,,1,1.95,0.6,0.975,0.3,1,1,1,,,,1,1,
allay,overworld,human,1,0.6,0.35,,,0,1,,,,,,,1
bat,overworld,animal,1,0.9,0.5,,,0,1,,,,,,,1
bee,overworld,animal,1,0.6,0.7,0.3,0.35,1,1,,,,,,1,1
camel,overworld,animal,1,2.4,1.8,,,,1,,,,,,,
cat,overworld,animal,1,0.7,0.6,0.35,0.3,0,1,,,,,,,
cave_spider,overworld,overworld monster,1,0.5,0.7,,,1,1,,,,,,1,
chicken,overworld,animal,1,0.7,0.4,0.35,0.2,0,1,,,,,,,
cow,overworld,animal,1,1.4,0.9,0.7,0.45,0,1,,,,,,,
creeper,overworld,overworld monster,1,1.7,0.6,,,1,1,,,,,,,
donkey,overworld,animal,1,1.5,1.3965,0.75,0.6982,0,1,,,,,,,
enderman,overworld,overworld monster,1,2.9,0.6,,,1,1,,,,,,1,
endermite,other,,1,0.3,0.4,,,1,1,,,,,,1,
evoker,overworld,raider,1,1.95,0.6,,,1,1,,,,,,1,
fox,overworld,animal,1,0.7,0.6,0.35,0.3,1,1,,,,,,,
giant,other,,1,12,3.6,,,0,1,,,,,,,
goat,overworld,animal,1,1.3,0.9,0.65,0.45,,1,,,,,,,
hoglin,nether,,1,1.4,1.3965,0.7,0.6982,1,1,,,,,,1,
horse,overworld,animal,1,1.6,1.3965,0.8,0.6982,0,1,,,,,,,
husk,overworld,overworld monster,1,1.95,0.6,0.975,0.3,1,1,1,,,,,1,
illusioner,other,,1,1.95,0.6,,,1,1,,,,,,1,
llama,overworld,animal,1,1.87,0.9,0.935,0.45,1,1,,,,,,1,
mooshroom,overworld,animal,1,1.4,0.9,0.7,0.45,0,1,,,,,,,
mule,overworld,animal,1,1.6,1.3965,0.8,0.6982,0,1,,,,,,,
ocelot,overworld,animal,1,0.7,0.6,0.35,0.3,,1,,,,,,,
panda,overworld,animal,1,1.25,1.3,0.625,0.65,1,1,,,,,,1,
parrot,overworld,animal,1,0.9,0.5,,,0,1,,,,,,,1
phantom,overworld,overworld monster,1,0.5,0.9,,,,1,1,1,,,,,1
pig,overworld,animal,1,0.9,0.9,0.45,0.45,0,1,,,,,,,
piglin,nether,,1,1.95,0.6,,,1,1,,,,,,1,
piglin_brute,nether,,1,1.95,0.6,,,1,1,,,,,,1,
pillager,overworld,raider,1,1.95,0.6,,,1,1,,,,,,1,
polar_bear,overworld,animal,1,1.4,1.4,0.7,0.7,1,1,,,,,,1,
rabbit,overworld,animal,1,0.5,0.4,0.25,0.2,,1,,,,,,,
ravager,overworld,raider,1,2.2,1.95,,,1,1,,,,,,1,
sheep,overworld,animal,1,1.3,0.9,0.65,0.45,0,1,,,,,,,
shulker,end,,1,1,1,,,1,1,,,,,,1,
silverfish,overworld,overworld monster,1,0.3,0.4,,,1,1,,,,,,1,
skeleton,overworld,overworld monster,1,1.99,0.6,,,1,1,1,1,,,,1,
skeleton_horse,other,,1,1.6,1.3965,0.8,0.6982,0,1,1,,,,,,
slime,overworld,overworld monster,1,2.05,2.05,,,0,1,,,,,,,
sniffer,other,,1,1.8,1.95,,,,1,,,,,,,
snow_golem,overworld,human,1,1.9,0.7,,,1,1,,,,,,1,
spider,overworld,overworld monster,1,0.9,1.4,,,1,1,,,,,,1,
stray,overworld,overworld monster,1,1.99,0.6,,,1,1,1,1,,,,1,
trader_llama,overworld,animal,1,1.87,0.9,0.935,0.45,1,1,,,,,,1,
vex,overworld,raider,1,0.8,0.4,,,1,1,,,,,,1,1
villager,overworld,human,1,1.95,0.6,0.975,0.3,0,1,,,,,,,
vindicator,overworld,raider,1,1.95,0.6,,,1,1,,,,,,1,
wandering_trader,overworld,human,1,1.95,0.6,,,0,1,,,,,,,
witch,overworld,raider,1,1.95,0.6,,,1,1,,,,,,1,
wolf,overworld,animal,1,0.85,0.6,0.425,0.3,1,1,,,,,,1,
zombie,overworld,overworld monster,1,1.95,0.6,0.975,0.3,1,1,1,1,,,,1,
zombie_horse,other,,1,1.6,1.3965,0.8,0.6982,0,1,1,,,,,,
zombie_villager,overworld,overworld monster,1,1.95,0.6,0.975,0.3,1,1,1,1,,,,1,
area_effect_cloud,,,,Varies,Varies,,,,,,,,,,,
armor_stand,,,,1.975,0.5,0.9875,0.25,,,,,,,,,
arrow,,,,0.5,0.5,,,,,,,,,,,
boat,,,,0.5625,1.375,,,,,,,,,,,
chest_boat,,,,0.5625,1.375,,,,,,,,,,,
chest_minecart,,,,0.7,0.98,,,,,,,,,,,
command_block_minecart,,,,0.7,0.98,,,,,,,,,,,
dragon_fireball,,,,1,1,,,,,,,,,,,
egg,,,,0.25,0.25,,,,,,,,,,,
end_crystal,,,,2,2,,,,,,,,,,,
ender_pearl,,,,0.25,0.25,,,,,,,,,,,
evoker_fangs,,,,0.8,0.5,,,,,,,,,,,
experience_bottle,,,,0.25,0.25,,,,,,,,,,,
experience_orb,,,,0.25,0.25,,,,,,,,,,,
eye_of_ender,,,,0.25,0.25,,,,,,,,,,,
falling_block,,,,0.98,0.98,,,,,,,,,,,
fireball,,,,1,1,,,,,,,,,,,
firework_rocket,,,,0.25,0.25,,,,,,,,,,,
fishing_bobber,,,,0.25,0.25,,,,,,,,,,,
furnace_minecart,,,,0.7,0.98,,,,,,,,,,,
glow_item_frame,,,,(Not cuboid),(Not cuboid),,,,,,,,,,,
hopper_minecart,,,,0.7,0.98,,,,,,,,,,,
item,,,,0.25,0.25,,,,,,,,,,,
item_frame,,,,(Not cuboid),(Not cuboid),,,,,,,,,,,
leash_knot,,,,0.5,0.375,,,,,,,,,,,
lightning_bolt,,,,0,0,,,,,,,,,,,
llama_spit,,,,0.25,0.25,,,,,,,,,,,
minecart,,,,0.7,0.98,,,,,,,,,,,
painting,,,,(Not cuboid),(Not cuboid),,,,,,,,,,,
player,,,,1.8,0.6,,,,,,,,,,,
potion,,,,0.25,0.25,,,,,,,,,,,
shulker_bullet,,,,0.3125,0.3125,,,,,,,,,,,
small_fireball,,,,0.3125,0.3125,,,,,,,,,,,
snowball,,,,0.25,0.25,,,,,,,,,,,
spawner_minecart,,,,0.7,0.98,,,,,,,,,,,
spectral_arrow,,,,0.5,0.5,,,,,,,,,,,
tnt,,,,0.98,0.98,,,,,,,,,,,
tnt_minecart,,,,0.7,0.98,,,,,,,,,,,
trident,,,,0.25,0.25,,,,,,,,,,,
wither_skull,,,,0.3125,0.3125,,,,,,,,,,,
