Entity Name,Group 1,Group 2,Rank,HP Variant,Max Health,Attack Damage Max,Attack Variant,Attack Damage,Movement Speed,Armor,Knockback,Cost Auto,Cost,Mob,Height,Width,Height Baby,Width Baby,Can Attack,Can Tame,Undead,Burn in the Sun,Can Revenge,Can Fly
allay,overworld,human,0,2,20,,,2,10,,,40,5,1,0.6,0.35,,,0,1,,,,1
axolotl,overworld,sea animal,-1,1,14,6,2,2,100,,,28,5,1,0.42,0.75,,,,1,,,,
bat,overworld,animal,0,1,6,,,0,69,,,0,1,1,0.9,0.5,,,0,1,,,,1
bee,overworld,animal,1,1,10,6,2,2,30,,,20,5,1,0.6,0.7,0.3,0.35,1,1,,,1,1
blaze,nether,,5,3,20,6,2,6,23,,,120,20,1,1.8,0.6,,,1,1,,,1,1
camel,overworld,animal,0,3,32,,,0,9,,,0,2,1,2.4,1.8,,,,1,,,,
cat,overworld,animal,0,1,10,,,3,30,,,30,2,1,0.7,0.6,0.35,0.3,0,1,,,,
cave_spider,overworld,overworld monster,3,2,12,6,2,2,30,,,24,8,1,0.5,0.7,,,1,1,,,1,
chicken,overworld,animal,0,1,4,,,0,24,,,0,1,1,0.7,0.4,0.35,0.2,0,1,,,,
cod,overworld,sea animal,0,1,3,,,0,69,,,0,1,1,0.3,0.5,,,0,1,,,,
cow,overworld,animal,0,1,10,,,0,20,,,0,1,1,1.4,0.9,0.7,0.45,0,1,,,,
creeper,overworld,overworld monster,3,2,20,,,2,25,,,40,5,1,1.7,0.6,,,1,1,,,,
dolphin,overworld,sea animal,2,1,10,,,3,120,,,30,5,1,0.6,0.9,,,1,1,,,1,
donkey,overworld,animal,0,,Varies,,,0,17,,,#VALUE!,2,1,1.5,1.3965,0.75,0.6982,0,1,,,,
drowned,overworld,sea monster,3,2,20,6,2,3,23,2,,60,10,1,1.95,0.6,0.975,0.3,1,1,1,1,1,
elder_guardian,overworld,sea monster,-1,,80,6,2,8,30,,,640,100,1,1.9975,1.9975,,,,1,,,,
ender_dragon,end,,-1,,200,,,0,69,,,0,,1,8,8,,,,1,,,,1
enderman,overworld,overworld monster,5,3,40,6,2,7,30,,,280,50,1,2.9,0.6,,,1,1,,,1,
endermite,other,,2,1,8,6,2,2,25,,,16,5,1,0.3,0.4,,,1,1,,,1,
evoker,overworld,raider,6,3,24,,,2,50,,,48,40,1,1.95,0.6,,,1,1,,,1,
fox,overworld,animal,2,1,10,6,2,2,30,,,20,5,1,0.7,0.6,0.35,0.3,1,1,,,,
frog,overworld,animal,0,1,10,,,10,100,,,100,1,1,0.5,0.5,,,0,1,,,,
ghast,nether,,5,3,10,,,0,69,,,0,20,1,4,4,,,1,1,,,,1
giant,other,,0,,,,,,,,,0,,1,12,3.6,,,0,1,,,,
glow_squid,overworld,sea animal,0,1,10,,,0,69,,,0,1,1,0.8,0.8,,,0,1,,,,
goat,overworld,animal,-1,1,10,6,2,2,20,,,20,5,1,1.3,0.9,0.65,0.45,,1,,,,
guardian,overworld,sea monster,-1,3,30,6,2,6,50,,,180,5,1,0.85,0.85,,,,1,,,,
hoglin,nether,,5,3,40,6,2,6,30,,2,240,40,1,1.4,1.3965,0.7,0.6982,1,1,,,1,
horse,overworld,animal,0,,Varies,,,0,Varies,,,#VALUE!,2,1,1.6,1.3965,0.8,0.6982,0,1,,,,
husk,overworld,overworld monster,3,2,20,6,2,3,23,,,60,10,1,1.95,0.6,0.975,0.3,1,1,1,,1,
illusioner,other,,5,,,,,,,,,0,,1,1.95,0.6,,,1,1,,,1,
iron_golem,overworld,human,7,,100,,,15,25,,,1500,200,1,2.7,1.4,,,1,1,,,1,
llama,overworld,animal,1,,Varies,,,0,17,,,#VALUE!,5,1,1.87,0.9,0.935,0.45,1,1,,,1,
magma_cube,nether,,-1,,1|4|16,,,1|2|4,30|40|60,3|6|12,,#VALUE!,5,1,2.05,2.05,,,0,1,,,,
mooshroom,overworld,animal,0,1,10,,,0,20,,,0,1,1,1.4,0.9,0.7,0.45,0,1,,,,
mule,overworld,animal,0,,Varies,,,0,17,,,#VALUE!,2,1,1.6,1.3965,0.8,0.6982,0,1,,,,
ocelot,overworld,animal,0,1,10,,,3,30,,,30,1,1,0.7,0.6,0.35,0.3,,1,,,,
panda,overworld,animal,2,2,20,6,2,6,15,,,120,5,1,1.25,1.3,0.625,0.65,1,1,,,1,
parrot,overworld,animal,0,1,6,,,0,20,,,0,1,1,0.9,0.5,,,0,1,,,,1
phantom,overworld,overworld monster,-1,2,20,,,2,69,,,40,5,1,0.5,0.9,,,,1,1,1,,1
pig,overworld,animal,0,1,10,,,0,25,,,0,1,1,0.9,0.9,0.45,0.45,0,1,,,,
piglin,nether,,3,2,16,6,2,5,34,,,80,10,1,1.95,0.6,,,1,1,,,1,
piglin_brute,nether,,6,3,50,6,2,7,32,,,350,80,1,1.95,0.6,,,1,1,,,1,
pillager,overworld,raider,3,3,24,,,5,34,,,120,10,1,1.95,0.6,,,1,1,,,1,
polar_bear,overworld,animal,4,3,30,6,2,6,25,,,180,30,1,1.4,1.4,0.7,0.7,1,1,,,1,
pufferfish,overworld,sea animal,0,1,3,,,0,69,,,0,1,1,0.35,0.35,,,,1,,,,
rabbit,overworld,animal,0,1,3,,,0,30,,,0,1,1,0.5,0.4,0.25,0.2,,1,,,,
ravager,overworld,raider,7,,100,,,12,30,,3,1200,150,1,2.2,1.95,,,1,1,,,1,
salmon,overworld,sea animal,0,1,3,,,0,69,,,0,1,1,0.4,0.7,,,0,1,,,,
sheep,overworld,animal,0,1,8,,,0,23,,,0,1,1,1.3,0.9,0.65,0.45,0,1,,,,
shulker,end,,5,3,30,,,0,69,,,0,20,1,1,1,,,1,1,,,1,
silverfish,overworld,overworld monster,2,1,8,6,2,1,25,,,8,5,1,0.3,0.4,,,1,1,,,1,
skeleton,overworld,overworld monster,3,2,20,6,2,2,25,,,40,15,1,1.99,0.6,,,1,1,1,1,1,
skeleton_horse,other,,0,1,15,,,0,20,,,0,2,1,1.6,1.3965,0.8,0.6982,0,1,1,,,
slime,overworld,overworld monster,-1,,1|4|16,,,1|2|4,30|40|60,,,#VALUE!,5,1,2.05,2.05,,,0,1,,,,
sniffer,other,,0,1,14,,,0,10,,,0,1,1,1.8,1.95,,,,1,,,,
snow_golem,overworld,human,1,1,4,,,0,20,,,0,5,1,1.9,0.7,,,1,1,,,1,
spider,overworld,overworld monster,3,2,16,6,2,2,30,,,32,8,1,0.9,1.4,,,1,1,,,1,
squid,overworld,sea animal,0,1,10,,,0,69,,,0,1,1,0.8,0.8,,,0,1,,,,
stray,overworld,overworld monster,3,2,20,6,2,2,25,,,40,15,1,1.99,0.6,,,1,1,1,1,1,
strider,nether,,0,2,20,,,0,17,,,0,2,1,1.7,0.9,0.85,0.45,0,1,,,,
tadpole,overworld,sea animal,,,,,,,,,,0,,1,0.3,0.4,,,,1,,,,
trader_llama,overworld,animal,1,,Varies,,,0,17,,,#VALUE!,5,1,1.87,0.9,0.935,0.45,1,1,,,1,
tropical_fish,overworld,sea animal,0,1,3,,,0,69,,,0,1,1,0.4,0.5,,,0,1,,,,
turtle,overworld,sea animal,0,2,30,,,0,25,,,0,1,1,0.4,1.2,0.12,0.36,0,1,,,,
vex,overworld,raider,4,2,14,6,2,4,69,,,56,5,1,0.8,0.4,,,1,1,,,1,1
villager,overworld,human,0,2,20,,,0,50,,,0,3,1,1.95,0.6,0.975,0.3,0,1,,,,
vindicator,overworld,raider,5,3,24,6,2,5,34,,,120,20,1,1.95,0.6,,,1,1,,,1,
wandering_trader,overworld,human,0,2,20,,,0,69,,,0,3,1,1.95,0.6,,,0,1,,,,
warden,overworld,overworld monster,8,,500,,,30,30,,3,15000,500,1,2.9,0.9,,,,1,,,,
witch,overworld,raider,5,3,26,,,2,25,,,52,20,1,1.95,0.6,,,1,1,,,1,
wither,other,,10,,300,,,2,60,4,,600,500,1,3.5,0.9,,,,1,1,,,1
wither_skeleton,nether,,5,2,20,6,2,4,25,,,80,20,1,2.4,0.7,,,1,1,1,,1,
wolf,overworld,animal,2,,8|20,6,2,4,30,,,#VALUE!,5,1,0.85,0.6,0.425,0.3,1,1,,,1,
zoglin,other,,5,3,40,6,2,6,30,2,,240,40,1,1.4,1.3965,0.7,0.6982,1,1,1,,1,
zombie,overworld,overworld monster,3,2,20,6,2,3,23,2,,60,10,1,1.95,0.6,0.975,0.3,1,1,1,1,1,
zombie_horse,other,,0,1,15,,,0,20,,,0,2,1,1.6,1.3965,0.8,0.6982,0,1,1,,,
zombie_villager,overworld,overworld monster,3,2,20,6,2,3,23,2,,60,10,1,1.95,0.6,0.975,0.3,1,1,1,1,1,
zombified_piglin,nether,,5,3,20,6,2,5,23,2,,100,20,1,1.95,0.6,0.975,0.3,1,1,1,,1,
area_effect_cloud,,,,,,,,,,,,0,,,Varies,Varies,,,,,,,,
armor_stand,,,,,,,,,,,,0,,,1.975,0.5,0.9875,0.25,,,,,,
arrow,,,,,,,,,,,,0,,,0.5,0.5,,,,,,,,
boat,,,,,,,,,,,,0,,,0.5625,1.375,,,,,,,,
chest_boat,,,,,,,,,,,,0,,,0.5625,1.375,,,,,,,,
